Title,Description,List Name,Labels,Due Date,Checklist
"ENV-01: Docker Compose: PG16+pgvector, Redis7, MinIO, Node20, PHP8.3","Provisionar infra local com Docker Compose contendo: PostgreSQL 16 (extensões pgvector, uuid-ossp, pg_stat_statements), Redis 7 (Valkey), MinIO (S3-compat), Node 20, PHP 8.3. Healthchecks obrigatórios.","🎯 Sprint 0 (Atual)","DevOps;P0 - Crítico;Multi-Tenant","2024-09-25","docker-compose.yml criado|Postgres sobe com pgvector|Redis sobe com Valkey|MinIO acessível em :9000/:9001|Healthchecks passing"
"ENV-02: Laravel 13 Install + Composer deps","Instalar Laravel 13 + dependências base: Inertia, Vue, Pest, PHPStan, Pint, Cashier (Stripe+Paddle), Reverb, Scout, Socialite.","🎯 Sprint 0 (Atual)","Backend;P0 - Crítico","2024-09-25","composer install sem erros|Laravel 13 versão confirmada|Dependências instaladas"
"ENV-03: NPM: Vue3+TS+Tailwind+Pinia+Inertia-Vue+Echo+Reverb","Setup frontend: Vue 3 + TypeScript + Tailwind CSS + Pinia + @inertiajs/vue3 + laravel-echo + @laravel/reverb. Build funcionando.","🎯 Sprint 0 (Atual)","Frontend;P0 - Crítico","2024-09-25","npm install sem erros|Vite build passa|Vue 3 + TS configurado|Tailwind funcionando|Inertia conectado"
"ENV-04: GitHub Actions CI: Pint, PHPStan L5, Pest 85%, Infection 70%, Dusk","Pipeline CI completo: static-analysis (Pint + PHPStan L5), unit-tests (Pest coverage ≥85%), mutation-tests (Infection MSI ≥70%), browser-tests (Dusk), tenant-isolation, security-scan (TruffleHog + Composer Audit), docker-build. Required checks para merge.","🎯 Sprint 0 (Atual)","DevOps;P0 - Crítico;Security","2024-09-25","ci.yml criado|Static analysis passa|Unit tests ≥85%|Mutation MSI ≥70%|Dusk passa|Tenant isolation tests passa|Security scan passa|Docker build passa"
"ENV-05: Models: Organization, Workspace, User + Traits","Criar Models base com traits: BelongsToOrganization, BelongsToWorkspace, UsesUuids, HasFactory. Factories e Seeders tenant-aware.","🎯 Sprint 0 (Atual)","Backend;DB Architect;P0 - Crítico;Multi-Tenant","2024-09-25","Organization model|Workspace model|User model|Traits criados|Factories tenant-aware|Seeders funcionando"
"ENV-06: Migrations + RLS policies SQL","Migrations: organizations, workspaces, users + FKs + índices compostos. Arquivo database/rls_policies.sql com policies: organization_isolation, workspace_isolation, platform_admin_bypass.","🎯 Sprint 0 (Atual)","DB Architect;P0 - Crítico;Multi-Tenant;Security","2024-09-25","Migrations criadas|FKs + índices compostos|rls_policies.sql criado|Policies: org_isolation, ws_isolation, platform_bypass|RLS habilitado nas tabelas"
"ENV-07: Middleware: SetOrgContext, SetWsContext, VerifyTenantAccess","Middleware pipeline: SetOrganizationContext (resolve org por slug), SetWorkspaceContext (resolve ws por slug), VerifyTenantAccess (valida membership), PreventCrossTenantAccess (headers segurança).","🎯 Sprint 0 (Atual)","Backend;P0 - Crítico;Multi-Tenant","2024-09-25","SetOrganizationContext|SetWorkspaceContext|VerifyTenantAccess|PreventCrossTenantAccess|Registrados no Kernel|Rotas agrupadas com middleware 'tenant'"
"ENV-08: Global Scopes: BelongsToOrg, BelongsToWs","Traits BelongsToOrganization e BelongsToWorkspace com addGlobalScope automático filtrando por app('tenant')->organizationId()/workspaceId(). Scope removível para Platform Admin.","🎯 Sprint 0 (Atual)","Backend;DB Architect;P0 - Crítico;Multi-Tenant","2024-09-25","BelongsToOrganization trait|BelongsToWorkspace trait|Global scopes ativos|withoutGlobalScope funciona"
"ENV-09: Policies: OrgPolicy, WsPolicy + Gates","Policies: OrganizationPolicy (view/update/delete/manageWorkspaces), WorkspacePolicy (view/update/manageMembers). Gates para Platform Admin.","🎯 Sprint 0 (Atual)","Backend;P0 - Crítico;Multi-Tenant;Security","2024-09-25","OrganizationPolicy|WorkspacePolicy|Gates registrados|#[Authorize] attributes funcionando"
"ENV-10: Tenant Resolver: path-based {org}/{ws} + subdomain fallback","TenantResolver service: resolve por path (/{org}/{ws}/), subdomain fallback, header X-Organization-ID, user context.","🎯 Sprint 0 (Atual)","Backend;P0 - Crítico;Multi-Tenant","2024-09-25","resolveFromRequest()|resolveWorkspace()|Path-based funciona|Subdomain fallback|Header fallback"
